client_id,client_name,fiscal_year,revenue_usd,industry,renewed,churn_reason
C1000,Apex Financial Corp,2023,2195000,Financial Services,True,
C1000,Apex Financial Corp,2024,2915000,Financial Services,True,
C1000,Apex Financial Corp,2025,2362000,Financial Services,True,
C1001,BlueCrest Capital,2023,2251000,Healthcare,True,
C1001,BlueCrest Capital,2024,1630000,Healthcare,True,
C1001,BlueCrest Capital,2025,1752000,Healthcare,True,
C1002,Cardinal Health Systems,2023,2512000,Manufacturing,True,
C1002,Cardinal Health Systems,2024,1620000,Manufacturing,True,
C1002,Cardinal Health Systems,2025,1966000,Manufacturing,True,
C1003,Dellworth Manufacturing,2023,118000,Retail & Consumer,True,
C1003,Dellworth Manufacturing,2024,161000,Retail & Consumer,False,M&A
C1003,Dellworth Manufacturing,2025,168000,Retail & Consumer,True,
C1004,Eagle Energy Group,2023,2882000,Energy & Utilities,True,
C1004,Eagle Energy Group,2024,1955000,Energy & Utilities,True,
C1004,Eagle Energy Group,2025,2136000,Energy & Utilities,True,
C1005,Fortis Insurance,2023,1859000,Public Sector,True,
C1005,Fortis Insurance,2024,1865000,Public Sector,True,
C1005,Fortis Insurance,2025,1160000,Public Sector,False,Pricing
C1006,Granite Retail Partners,2023,2569000,Financial Services,True,
C1006,Granite Retail Partners,2024,2635000,Financial Services,True,
C1006,Granite Retail Partners,2025,2071000,Financial Services,True,
C1007,Harbor Logistics,2023,2702000,Healthcare,True,
C1007,Harbor Logistics,2024,2210000,Healthcare,True,
C1007,Harbor Logistics,2025,1807000,Healthcare,True,
C1008,Indus Technologies,2023,853000,Manufacturing,True,
C1008,Indus Technologies,2024,860000,Manufacturing,False,Went to competitor
C1008,Indus Technologies,2025,1269000,Manufacturing,True,
C1009,Jefferson Medical Center,2023,1356000,Retail & Consumer,True,
C1009,Jefferson Medical Center,2024,1154000,Retail & Consumer,True,
C1009,Jefferson Medical Center,2025,1391000,Retail & Consumer,True,
C1010,Keystone Bank,2023,1407000,Energy & Utilities,True,
C1010,Keystone Bank,2024,1871000,Energy & Utilities,True,
C1010,Keystone Bank,2025,1946000,Energy & Utilities,True,
C1011,Lakewood Energy,2023,2394000,Public Sector,True,
C1011,Lakewood Energy,2024,1821000,Public Sector,True,
C1011,Lakewood Energy,2025,1858000,Public Sector,True,
C1012,Meridian Pharma,2023,1477000,Financial Services,False,Relationship change
C1012,Meridian Pharma,2024,1540000,Financial Services,True,
C1012,Meridian Pharma,2025,1261000,Financial Services,True,
C1013,Northgate Retail,2023,2018000,Healthcare,True,
C1013,Northgate Retail,2024,2674000,Healthcare,True,
C1013,Northgate Retail,2025,2104000,Healthcare,True,
C1014,Omega Asset Management,2023,737000,Manufacturing,True,
C1014,Omega Asset Management,2024,1003000,Manufacturing,True,
C1014,Omega Asset Management,2025,877000,Manufacturing,True,
C1015,Pacific Healthcare,2023,1058000,Retail & Consumer,True,
C1015,Pacific Healthcare,2024,1145000,Retail & Consumer,False,M&A
