project_id,project_name,client_id,client_name,industry,practice,engagement_type,start_date,planned_end_date,contract_value_usd,pct_complete,status,engagement_manager,team_size,billing_model
P3000,Change Management Program — Acme,C1052,Acme Financial,Energy & Utilities,HR & People,Assessment,2026-01-04,2026-03-13,1470000,77,On Track,Adam Thomas,9,Capped T&M
P3001,Procurement Optimization — Keystone,C1010,Keystone Bank,Energy & Utilities,Operations Excellence,Strategy,2025-11-21,2026-05-19,824000,71,Ahead of Schedule,Mark Johnson,9,Capped T&M
P3002,Change Management Program — Jefferson,C1009,Jefferson Medical Center,Retail & Consumer,HR & People,Strategy,2025-12-07,2026-07-11,174000,48,On Track,Katherine Wilson,9,Capped T&M
P3003,Finance Function Transformation — Iris,C1060,Iris Medical,Financial Services,HR & People,Strategy,2026-02-01,2026-07-01,1445000,42,On Track,Isabella Johnson,6,Fixed Fee
P3004,ERP Implementation Support — Iris,C1060,Iris Medical,Financial Services,HR & People,Transformation,2025-07-27,2026-03-12,1487000,84,On Track,William Evans,4,Capped T&M
P3005,Customer Experience Redesign — Jefferson,C1009,Jefferson Medical Center,Retail & Consumer,Technology & Digital,Strategy,2025-09-06,2026-04-11,493000,37,On Track,Isabella Clark,4,Capped T&M
P3006,ERP Implementation Support — Falcon,C1057,Falcon Financial,Retail & Consumer,Technology & Digital,Advisory,2025-11-11,2026-07-29,1081000,67,On Track,Brenda Collins,7,Fixed Fee
P3007,Go-to-Market Strategy — Summit,C1018,Summit Financial,Financial Services,HR & People,Transformation,2026-03-11,2026-11-18,1491000,54,On Track,David Clark,5,Capped T&M
P3008,Customer Experience Redesign — Sterling,C1044,Sterling Manufacturing,Manufacturing,Strategy & Growth,Transformation,2025-08-29,2025-11-10,335000,56,On Track,Christina Thompson,5,T&M
P3009,Customer Experience Redesign — Xavier,C1049,Xavier Technologies,Healthcare,Finance & Risk,Transformation,2025-09-13,2026-03-27,1318000,6,On Track,Matthew Wright,7,Capped T&M
P3010,Data Analytics Strategy — Fortis,C1005,Fortis Insurance,Public Sector,Strategy & Growth,Assessment,2025-12-29,2026-10-01,705000,88,Ahead of Schedule,Nicole Carter,6,Fixed Fee
P3011,Revenue Growth Strategy — Global,C1032,Global Asset Corp,Manufacturing,HR & People,Advisory,2026-02-22,2026-11-06,1045000,35,At Risk,Matthew Martin,10,T&M
P3012,Data Analytics Strategy — Xenon,C1023,Xenon Energy,Public Sector,Technology & Digital,Strategy,2025-07-06,2026-02-23,112000,13,On Track,Christopher Anderson,3,Capped T&M
P3013,Workforce Planning — Falcon,C1057,Falcon Financial,Retail & Consumer,Technology & Digital,Strategy,2025-11-23,2026-03-27,370000,8,At Risk,Hannah Young,3,Capped T&M
P3014,Organizational Design — Pacific,C1015,Pacific Healthcare,Retail & Consumer,Strategy & Growth,Implementation,2025-09-05,2026-02-08,1019000,87,On Track,Adam Thomas,4,T&M
P3015,M&A Integration Strategy — Liberty,C1037,Liberty Financial,Healthcare,Finance & Risk,Assessment,2026-02-18,2026-12-11,1493000,59,At Risk,Thomas Harris,4,Fixed Fee
P3016,Revenue Growth Strategy — Junction,C1035,Junction Manufacturing,Public Sector,Strategy & Growth,Assessment,2026-01-15,2026-06-09,1494000,38,Ahead of Schedule,Isabella Clark,9,Fixed Fee
P3017,Organizational Design — Kestrel,C1062,Kestrel Energy,Manufacturing,Operations Excellence,Transformation,2026-01-18,2026-05-03,1004000,18,On Track,Hannah Young,3,T&M
P3018,Operational Efficiency Review — Horizon,C1033,Horizon Medical,Retail & Consumer,Strategy & Growth,Strategy,2025-08-07,2025-10-24,900000,37,On Hold,Amy Smith,4,Capped T&M
P3019,Revenue Growth Strategy — Apex,C1000,Apex Financial Corp,Financial Services,Strategy & Growth,Advisory,2025-11-14,2026-02-20,1080000,55,On Track,Amy Smith,9,T&M
