opportunity_id,client_name,industry,practice,deal_value_usd,outcome,close_date,primary_competitor,reason,engagement_type,source
OPP5000,Summit Financial,Financial Services,Operations Excellence,1019000,Lost,2025-02-03,Accenture,Relationship gap,Transformation,Outbound
OPP5001,Heritage Bank,Public Sector,Operations Excellence,1210000,Won,2024-08-15,Deloitte,Best proposal quality,Transformation,RFP
OPP5002,Walton Retail,Financial Services,Operations Excellence,1532000,Lost,2024-12-20,PwC,Price too high,Implementation,Existing relationship
OPP5003,York Capital Management,Manufacturing,HR & People,1512000,Won,2023-09-09,PwC,Relevant expertise,Implementation,RFP
OPP5004,Redwood Capital,Healthcare,Finance & Risk,1765000,Lost,2024-06-19,PwC,Competitor brand preference,Assessment,RFP
OPP5005,Quest Healthcare,Financial Services,Operations Excellence,1654000,Won,2023-02-02,Deloitte,Faster mobilization,Transformation,Existing relationship
OPP5006,Westfield Consumer Goods,Energy & Utilities,Finance & Risk,1045000,Lost,2025-04-26,Oliver Wyman,Relationship gap,Strategy,Existing relationship
OPP5007,Elite Energy,Manufacturing,Finance & Risk,700000,Lost,2023-09-10,KPMG,Timing,Implementation,Existing relationship
OPP5008,Vista Healthcare,Public Sector,Operations Excellence,856000,Won,2024-01-31,Deloitte,Competitive price,Assessment,Referral
OPP5009,Maple Healthcare,Manufacturing,Finance & Risk,498000,Won,2024-03-28,KPMG,Best proposal quality,Assessment,Outbound
OPP5010,Allstate Logistics,Manufacturing,Finance & Risk,433000,Lost,2023-01-15,McKinsey & Company,Scope misalignment,Advisory,Outbound
OPP5011,Yellowstone Insurance,Financial Services,HR & People,1243000,Won,2026-03-04,BCG,Best proposal quality,Advisory,Referral
OPP5012,Quantum Computing Inc,Energy & Utilities,Operations Excellence,1687000,Lost,2024-06-15,PwC,Competitor brand preference,Strategy,RFP
OPP5013,Gemstone Retail,Energy & Utilities,Strategy & Growth,1694000,Lost,2023-01-05,KPMG,Timing,Transformation,RFP
OPP5014,Oakwood Manufacturing,Financial Services,HR & People,942000,Won,2025-08-13,Deloitte,Innovation in approach,Implementation,Existing relationship
OPP5015,Beacon Capital,Public Sector,Strategy & Growth,863000,Won,2025-12-26,Oliver Wyman,Prior relationship,Assessment,Existing relationship
OPP5016,Dellworth Manufacturing,Retail & Consumer,Finance & Risk,1763000,Lost,2024-04-07,McKinsey & Company,Competitor brand preference,Implementation,Referral
OPP5017,Indus Technologies,Manufacturing,Finance & Risk,147000,Won,2023-07-18,Deloitte,Faster mobilization,Assessment,RFP
OPP5018,Iris Medical,Financial Services,Strategy & Growth,1730000,Won,2024-05-03,KPMG,Faster mobilization,Implementation,Existing relationship
OPP5019,Elite Energy,Manufacturing,HR & People,1163000,Lost,2023-07-15,McKinsey & Company,Price too high,Strategy,Existing relationship
