opportunity_id,client_name,industry,practice,engagement_type,stage,expected_value_usd,probability_pct,weighted_value_usd,expected_close_date,owner,source
OPP4000,Xenon Energy,Public Sector,Finance & Risk,Implementation,Verbal Commit,1894000,85,1609900,2026-12-13,Joseph Evans,Outbound
OPP4001,Delta Financial,Public Sector,Strategy & Growth,Strategy,Verbal Commit,461000,85,391850,2026-10-27,James Collins,Referral
OPP4002,Triumph Automotive,Healthcare,Strategy & Growth,Strategy,Negotiation,407000,65,264550,2026-09-23,Christopher Anderson,Existing relationship
OPP4003,Pacific Healthcare,Retail & Consumer,Operations Excellence,Assessment,Proposal Submitted,446000,35,156100,2026-12-07,Amy Smith,RFP
OPP4004,Allstate Logistics,Manufacturing,HR & People,Implementation,Proposal Submitted,1991000,35,696850,2026-07-12,Alyssa Parker,Partner
OPP4005,Dellworth Manufacturing,Retail & Consumer,Technology & Digital,Assessment,Negotiation,532000,65,345800,2026-08-24,Adam King,Referral
OPP4006,Iris Medical,Financial Services,Operations Excellence,Implementation,Negotiation,1951000,65,1268150,2026-08-10,Matthew Wright,Partner
OPP4007,Global Asset Corp,Manufacturing,Strategy & Growth,Implementation,Qualification,1149000,15,172350,2026-05-14,Katherine Wilson,RFP
OPP4008,Fortis Insurance,Public Sector,Strategy & Growth,Transformation,Negotiation,1049000,65,681850,2026-08-06,Jason Parker,RFP
OPP4009,Wyndham Financial,Manufacturing,Operations Excellence,Transformation,Negotiation,406000,65,263900,2026-09-04,David Rivera,RFP
OPP4010,Diamond Manufacturing,Healthcare,Operations Excellence,Transformation,Negotiation,304000,65,197600,2026-05-12,Nicole Carter,Referral
OPP4011,Horizon Medical,Retail & Consumer,HR & People,Assessment,Negotiation,1073000,65,697450,2026-08-20,Amy Smith,Referral
OPP4012,Granite Retail Partners,Financial Services,Operations Excellence,Transformation,Proposal Submitted,185000,35,64749,2026-06-16,Thomas Harris,Existing relationship
OPP4013,Diamond Manufacturing,Healthcare,Strategy & Growth,Advisory,Verbal Commit,158000,85,134300,2026-07-31,Amy Smith,Partner
OPP4014,Summit Financial,Financial Services,Strategy & Growth,Implementation,Negotiation,260000,65,169000,2026-12-09,David Clark,RFP
OPP4015,Wyndham Financial,Manufacturing,Operations Excellence,Transformation,Qualification,1090000,15,163500,2026-09-24,Amanda Evans,Referral
OPP4016,Quest Healthcare,Financial Services,Strategy & Growth,Transformation,Negotiation,1388000,65,902200,2026-10-22,Jason Parker,Existing relationship
OPP4017,Dellworth Manufacturing,Retail & Consumer,Strategy & Growth,Transformation,Verbal Commit,1675000,85,1423750,2026-10-16,Nicole Carter,Conference
OPP4018,Falcon Financial,Retail & Consumer,Technology & Digital,Assessment,Proposal Submitted,486000,35,170100,2026-05-13,Timothy Wilson,Partner
OPP4019,Sapphire Financial,Energy & Utilities,HR & People,Implementation,Verbal Commit,258000,85,219300,2026-07-05,James Collins,Referral
OPP4020,Union Pacific Holdings,Manufacturing,Finance & Risk,Implementation,Verbal Commit,627000,85,532950,2026-11-09,Adam Thomas,Partner
OPP4021,Northern Energy Systems,Retail & Consumer,HR & People,Advisory,Proposal Submitted,769000,35,269150,2026-05-25,Matthew Martin,RFP
OPP4022,Iris Medical,Financial Services,Technology & Digital,Advisory,Verbal Commit,253000,85,215050,2026-08-17,Isabella Clark,RFP
