client_id,client_name,industry,region,relationship_start,account_manager,ltm_revenue_usd,contract_type,nps_score,status,active_projects,total_projects_lifetime
C1000,Apex Financial Corp,Financial Services,Southeast,2020-08-12,David Rivera,2585000,Project-based,55,Inactive,1,5
C1001,BlueCrest Capital,Healthcare,Midwest,2018-10-10,Alyssa Parker,2168000,Master Service Agreement,70,Active,3,15
C1002,Cardinal Health Systems,Manufacturing,Northeast,2023-02-08,Jason Parker,2256000,Master Service Agreement,31,Active,3,16
C1003,Dellworth Manufacturing,Retail & Consumer,Midwest,2022-07-11,Brittany Martin,157000,Spot,31,Active,0,18
C1004,Eagle Energy Group,Energy & Utilities,West Coast,2018-06-11,Emily Thompson,2716000,Master Service Agreement,47,Active,2,18
C1005,Fortis Insurance,Public Sector,International,2017-06-18,Brenda Collins,1650000,Retainer,82,Active,0,15
C1006,Granite Retail Partners,Financial Services,Northeast,2017-05-23,Brenda Evans,2613000,Retainer,40,Active,1,5
C1007,Harbor Logistics,Healthcare,Midwest,2017-10-13,Thomas Harris,2467000,Master Service Agreement,55,Active,0,12
C1008,Indus Technologies,Manufacturing,Southeast,2016-07-31,Brenda Evans,1200000,Project-based,59,Active,0,4
C1009,Jefferson Medical Center,Retail & Consumer,Northeast,2018-05-24,Brian Nelson,1414000,Spot,36,Active,0,11
C1010,Keystone Bank,Energy & Utilities,Northeast,2020-09-25,William Evans,1989000,Spot,81,Active,0,4
C1011,Lakewood Energy,Public Sector,Midwest,2020-02-14,Jessica Rodriguez,2485000,Project-based,37,Active,0,17
C1012,Meridian Pharma,Financial Services,International,2016-02-04,Jessica Rodriguez,1767000,Project-based,41,Active,3,15
C1013,Northgate Retail,Healthcare,Southeast,2016-12-21,Brittany Martin,2526000,Spot,37,Active,3,11
C1014,Omega Asset Management,Manufacturing,Southeast,2018-10-11,Joseph Evans,884000,Master Service Agreement,30,Active,2,7
C1015,Pacific Healthcare,Retail & Consumer,International,2022-10-21,Mark Johnson,1500000,Retainer,70,Active,3,13
C1016,Quantum Computing Inc,Energy & Utilities,Northeast,2018-09-14,Jason Parker,1474000,Retainer,29,Active,2,5
C1017,Riverside Manufacturing,Public Sector,West Coast,2022-05-17,Joseph Evans,1265000,Retainer,42,Active,4,3
C1018,Summit Financial,Financial Services,Northeast,2018-12-09,Amy Carter,722000,Spot,27,Inactive,2,17
C1019,Triumph Automotive,Healthcare,West Coast,2020-09-30,Nicole Carter,2010000,Project-based,30,Active,0,10
C1020,Union Pacific Holdings,Manufacturing,Northeast,2021-09-25,Adam King,2590000,Spot,39,Active,0,10
C1021,Vector Technologies,Retail & Consumer,West Coast,2018-09-04,Timothy Flores,303000,Retainer,31,Inactive,4,2
C1022,Westfield Consumer Goods,Energy & Utilities,Midwest,2023-06-21,Brian Nelson,2115000,Project-based,42,Active,1,16
C1023,Xenon Energy,Public Sector,Midwest,2021-11-12,Nicole Carter,1521000,Project-based,53,Active,0,1
C1024,Yellowstone Insurance,Financial Services,Midwest,2020-10-24,Amy Smith,871000,Retainer,28,Active,3,17
C1025,Zenith Capital,Healthcare,Midwest,2016-08-15,Hannah Parker,1474000,Master Service Agreement,41,Active,4,4
C1026,Allstate Logistics,Manufacturing,Southeast,2021-09-15,Jason Parker,157000,Spot,21,Active,3,5
C1027,Brightwood Healthcare,Retail & Consumer,Southeast,2016-05-24,Alyssa Parker,1615000,Project-based,73,Active,2,9
C1028,Coastal Manufacturing,Energy & Utilities,Northeast,2022-05-30,Isabella Clark,1138000,Retainer,84,Active,1,17
C1029,Delta Financial,Public Sector,Northeast,2020-06-30,Timothy Wilson,333000,Master Service Agreement,79,Inactive,0,18
C1030,Emerald Retail Group,Financial Services,West Coast,2016-02-02,Mark Johnson,1128000,Master Service Agreement,57,Active,3,12
C1031,Frontier Energy,Healthcare,International,2021-07-13,Jessica Rodriguez,2794000,Project-based,45,Active,0,14
C1032,Global Asset Corp,Manufacturing,Northeast,2018-08-12,Matthew Wright,1585000,Retainer,21,Inactive,2,4
C1033,Horizon Medical,Retail & Consumer,Southeast,2021-12-10,Jessica Rodriguez,2755000,Retainer,73,Active,2,3
C1034,Imperial Bank,Energy & Utilities,Northeast,2018-08-06,Timothy Flores,2528000,Master Service Agreement,72,Active,0,4
C1035,Junction Manufacturing,Public Sector,International,2017-06-30,Brenda Evans,1839000,Retainer,70,Active,1,8
C1036,Kingsley Consumer Brands,Financial Services,Midwest,2018-12-05,Timothy Wilson,2405000,Master Service Agreement,70,Active,3,9
C1037,Liberty Financial,Healthcare,Southeast,2016-11-01,Jessica Rodriguez,2650000,Retainer,37,Active,0,6
