year,month,month_label,practice,revenue_usd,staff_cost_usd,overhead_usd,operating_profit_usd,margin_pct
2023,1,Jan 2023,Strategy & Growth,493600,275200,60100,158300,32.1
2023,1,Jan 2023,Operations Excellence,468400,249100,52400,166900,35.6
2023,1,Jan 2023,Technology & Digital,686300,382700,89300,214300,31.2
2023,1,Jan 2023,Finance & Risk,446200,238000,58900,149300,33.5
2023,1,Jan 2023,HR & People,288500,159800,32800,95900,33.2
2023,2,Feb 2023,Strategy & Growth,516000,267500,52400,196100,38.0
2023,2,Feb 2023,Operations Excellence,502500,245900,50700,205900,41.0
2023,2,Feb 2023,Technology & Digital,698500,347600,79800,271100,38.8
2023,2,Feb 2023,Finance & Risk,433600,229200,46700,157700,36.4
2023,2,Feb 2023,HR & People,296100,160600,38700,96800,32.7
2023,3,Mar 2023,Strategy & Growth,585000,284700,78400,221900,37.9
2023,3,Mar 2023,Operations Excellence,563700,313800,78400,171500,30.4
2023,3,Mar 2023,Technology & Digital,763000,396200,94700,272100,35.7
2023,3,Mar 2023,Finance & Risk,497500,241000,63000,193500,38.9
2023,3,Mar 2023,HR & People,327100,175700,38300,113100,34.6
2023,4,Apr 2023,Strategy & Growth,618400,297400,70400,250600,40.5
2023,4,Apr 2023,Operations Excellence,556900,287200,68200,201500,36.2
2023,4,Apr 2023,Technology & Digital,770800,424700,99900,246200,31.9
2023,4,Apr 2023,Finance & Risk,507800,261700,54100,192000,37.8
2023,4,Apr 2023,HR & People,351400,193900,45400,112100,31.9
2023,5,May 2023,Strategy & Growth,633600,346500,78500,208600,32.9
2023,5,May 2023,Operations Excellence,557100,280900,77700,198500,35.6
2023,5,May 2023,Technology & Digital,817300,414200,112200,290900,35.6
2023,5,May 2023,Finance & Risk,529500,270100,53100,206300,39.0
2023,5,May 2023,HR & People,355000,178200,38000,138800,39.1
2023,6,Jun 2023,Strategy & Growth,657000,345200,89700,222100,33.8
2023,6,Jun 2023,Operations Excellence,578300,316100,64500,197700,34.2
2023,6,Jun 2023,Technology & Digital,839100,458000,94000,287100,34.2
2023,6,Jun 2023,Finance & Risk,545500,283400,70700,191400,35.1
2023,6,Jun 2023,HR & People,348100,189100,37000,122000,35.0
2023,7,Jul 2023,Strategy & Growth,547500,290900,68700,187900,34.3
2023,7,Jul 2023,Operations Excellence,487000,259700,54300,173000,35.5
2023,7,Jul 2023,Technology & Digital,686500,379300,86400,220800,32.2
2023,7,Jul 2023,Finance & Risk,433000,234300,51800,146900,33.9
2023,7,Jul 2023,HR & People,323300,170700,37000,115600,35.8
2023,8,Aug 2023,Strategy & Growth,579400,298300,63900,217200,37.5
2023,8,Aug 2023,Operations Excellence,539800,301200,71600,167000,30.9
2023,8,Aug 2023,Technology & Digital,728000,392100,73300,262600,36.1
2023,8,Aug 2023,Finance & Risk,461500,243000,48800,169700,36.8
2023,8,Aug 2023,HR & People,315300,168800,36000,110500,35.0
2023,9,Sep 2023,Strategy & Growth,637100,324200,79900,233000,36.6
2023,9,Sep 2023,Operations Excellence,645400,312300,72100,261000,40.4
2023,9,Sep 2023,Technology & Digital,871100,423500,93900,353700,40.6
2023,9,Sep 2023,Finance & Risk,559300,302700,69300,187300,33.5
2023,9,Sep 2023,HR & People,352500,178300,39700,134500,38.2
2023,10,Oct 2023,Strategy & Growth,721700,392600,80000,249100,34.5
2023,10,Oct 2023,Operations Excellence,645000,328300,78300,238400,37.0
2023,10,Oct 2023,Technology & Digital,866300,425800,91400,349100,40.3
2023,10,Oct 2023,Finance & Risk,552100,299400,64300,188400,34.1
2023,10,Oct 2023,HR & People,397100,195800,43200,158100,39.8
2023,11,Nov 2023,Strategy & Growth,680100,371700,89600,218800,32.2
2023,11,Nov 2023,Operations Excellence,622300,333000,85900,203400,32.7
2023,11,Nov 2023,Technology & Digital,901100,483900,115400,301800,33.5
2023,11,Nov 2023,Finance & Risk,576400,295900,78800,201700,35.0
2023,11,Nov 2023,HR & People,353700,173500,35600,144600,40.9
2023,12,Dec 2023,Strategy & Growth,570200,305200,60200,204800,35.9
2023,12,Dec 2023,Operations Excellence,524300,293100,63400,167800,32.0
2023,12,Dec 2023,Technology & Digital,780900,385600,87600,307700,39.4
2023,12,Dec 2023,Finance & Risk,489100,239400,51400,198300,40.5
2023,12,Dec 2023,HR & People,324200,173500,36400,114300,35.3
2024,1,Jan 2024,Strategy & Growth,572800,319900,67000,185900,32.5
2024,1,Jan 2024,Operations Excellence,556500,272100,56100,228300,41.0
