project_id,client_name,practice,engagement_type,fiscal_year,quarter,contract_value_usd,actual_revenue_usd,cost_usd,gross_profit_usd,margin_pct,on_time,team_size
P2200,Zenith Capital,Operations Excellence,Strategy,2023,Q4,337000,360000,214000,146000,40.5,True,12
P2201,Lighthouse Insurance,HR & People,Assessment,2025,Q2,1030000,992000,714000,278000,28.0,False,9
P2202,Xenon Energy,HR & People,Advisory,2024,Q3,920000,925000,726000,199000,21.5,True,7
P2203,York Capital Management,Operations Excellence,Assessment,2023,Q3,595000,537000,340000,197000,36.6,True,11
P2204,Horizon Medical,Operations Excellence,Assessment,2023,Q4,382000,370000,208000,162000,43.9,True,7
P2205,Zenith Healthcare,Technology & Digital,Advisory,2023,Q4,227000,215000,143000,72000,33.5,True,8
P2206,Walton Retail,Operations Excellence,Advisory,2023,Q3,982000,982000,758000,224000,22.8,False,7
P2207,Kestrel Energy,Technology & Digital,Transformation,2026,Q1,133000,124000,98000,26000,20.7,True,7
P2208,Horizon Medical,Technology & Digital,Advisory,2026,Q1,1124000,1016000,762000,254000,25.0,True,11
P2209,Quartz Energy,Operations Excellence,Transformation,2024,Q3,834000,873000,601000,272000,31.2,False,12
P2210,Summit Financial,Operations Excellence,Assessment,2025,Q2,533000,488000,281000,207000,42.5,True,11
P2211,York Capital Management,Technology & Digital,Assessment,2025,Q1,663000,619000,432000,187000,30.2,False,3
P2212,Allstate Logistics,Operations Excellence,Strategy,2022,Q4,151000,152000,89000,63000,41.7,True,6
P2213,Triumph Automotive,Strategy & Growth,Strategy,2024,Q1,357000,366000,272000,94000,25.7,True,12
P2214,Titan Energy,Technology & Digital,Advisory,2025,Q3,1127000,1045000,702000,343000,32.8,False,9
P2215,Urbane Capital,Finance & Risk,Assessment,2025,Q3,1098000,1038000,716000,322000,31.0,True,4
P2216,Maple Healthcare,Strategy & Growth,Assessment,2025,Q2,465000,419000,290000,129000,30.7,False,2
P2217,Diamond Manufacturing,Technology & Digital,Transformation,2023,Q2,694000,747000,575000,172000,23.1,True,5
P2218,Horizon Medical,Strategy & Growth,Assessment,2024,Q1,936000,994000,571000,423000,42.6,True,8
P2219,Yellowstone Insurance,Strategy & Growth,Strategy,2023,Q2,204000,202000,141000,61000,30.3,True,4
P2220,Granite Retail Partners,HR & People,Transformation,2023,Q2,396000,391000,307000,84000,21.4,True,5
P2221,Redwood Capital,Finance & Risk,Assessment,2025,Q2,599000,579000,351000,228000,39.4,False,8
P2222,Jefferson Medical Center,HR & People,Transformation,2023,Q2,1083000,1057000,795000,262000,24.8,True,9
P2223,Frontier Energy,Strategy & Growth,Implementation,2024,Q4,664000,660000,366000,294000,44.5,True,12
P2224,Fortis Insurance,HR & People,Implementation,2023,Q1,619000,602000,445000,157000,26.1,True,12
P2225,Diamond Manufacturing,Technology & Digital,Advisory,2023,Q2,735000,697000,497000,200000,28.7,False,4
P2226,Vista Healthcare,Strategy & Growth,Assessment,2023,Q3,182000,198000,129000,69000,34.7,False,12
P2227,Triumph Automotive,HR & People,Implementation,2023,Q3,341000,361000,200000,161000,44.5,False,2
P2228,Walton Retail,Technology & Digital,Advisory,2023,Q3,624000,598000,420000,178000,29.8,True,7
P2229,Premier Insurance,Finance & Risk,Strategy,2026,Q2,260000,257000,174000,83000,32.3,False,12
P2230,Momentum Healthcare,Finance & Risk,Implementation,2022,Q4,949000,991000,749000,242000,24.4,True,10
P2231,Lighthouse Insurance,HR & People,Implementation,2024,Q1,539000,495000,363000,132000,26.7,True,2
