project_id,project_name,client_id,client_name,industry,practice,engagement_type,start_date,end_date,contract_value_usd,actual_revenue_usd,cost_usd,margin_pct,on_time_delivery,client_satisfaction_score,engagement_manager,team_size
P2200,Workforce Planning — Zenith,C1025,Zenith Capital,Healthcare,Operations Excellence,Strategy,2023-06-28,2023-12-10,337000,360000,214000,40.5,True,4.6,Adam Thomas,12
P2201,Digital Transformation Roadmap — Lighthouse,C1063,Lighthouse Insurance,Retail & Consumer,HR & People,Assessment,2025-01-13,2025-04-04,1030000,992000,714000,28.0,False,4.8,Victoria Wright,9
P2202,Customer Experience Redesign — Xenon,C1023,Xenon Energy,Public Sector,HR & People,Advisory,2024-03-25,2024-09-14,920000,925000,726000,21.5,True,4.9,Brenda Collins,7
P2203,Regulatory Compliance Audit — York,C1050,York Capital Management,Manufacturing,Operations Excellence,Assessment,2022-09-04,2023-07-26,595000,537000,340000,36.6,True,4.2,Timothy Wilson,11
P2204,Data Analytics Strategy — Horizon,C1033,Horizon Medical,Retail & Consumer,Operations Excellence,Assessment,2023-06-23,2023-12-21,382000,370000,208000,43.9,True,4.0,Alyssa Parker,7
P2205,Regulatory Compliance Audit — Zenith,C1051,Zenith Healthcare,Retail & Consumer,Technology & Digital,Advisory,2023-01-04,2023-12-22,227000,215000,143000,33.5,True,3.7,Mark Johnson,8
P2206,Go-to-Market Strategy — Walton,C1048,Walton Retail,Financial Services,Operations Excellence,Advisory,2022-11-03,2023-09-01,982000,982000,758000,22.8,False,4.7,Christopher Anderson,7
P2207,Customer Experience Redesign — Kestrel,C1062,Kestrel Energy,Manufacturing,Technology & Digital,Transformation,2025-02-25,2026-02-10,133000,124000,98000,20.7,True,3.7,Hannah Parker,7
P2208,HR Operating Model — Horizon,C1033,Horizon Medical,Retail & Consumer,Technology & Digital,Advisory,2025-02-21,2026-02-01,1124000,1016000,762000,25.0,True,4.8,Matthew Martin,11
P2209,Supply Chain Optimization — Quartz,C1068,Quartz Energy,Manufacturing,Operations Excellence,Transformation,2023-12-29,2024-08-11,834000,873000,601000,31.2,False,3.9,Emily Thompson,12
P2210,Finance Function Transformation — Summit,C1018,Summit Financial,Financial Services,Operations Excellence,Assessment,2024-05-13,2025-04-30,533000,488000,281000,42.5,True,3.8,Emily Thompson,11
P2211,Regulatory Compliance Audit — York,C1050,York Capital Management,Manufacturing,Technology & Digital,Assessment,2024-01-14,2025-01-08,663000,619000,432000,30.2,False,3.4,Mark Johnson,3
P2212,Revenue Growth Strategy — Allstate,C1026,Allstate Logistics,Manufacturing,Operations Excellence,Strategy,2022-07-30,2022-11-15,151000,152000,89000,41.7,True,3.9,William Evans,6
