client_id,client_name,survey_date,nps_score,category,industry,primary_feedback_theme,would_recommend
C1003,Dellworth Manufacturing,2024-03-31,23,Detractor,Retail & Consumer,Turnaround time,False
C1031,Frontier Energy,2024-03-31,51,Passive,Healthcare,Communication,False
C1006,Granite Retail Partners,2024-03-31,31,Detractor,Financial Services,Communication,False
C1053,Beacon Capital,2024-03-31,21,Detractor,Public Sector,Team chemistry,False
C1073,Vertex Healthcare,2024-03-31,81,Promoter,Healthcare,Value for money,True
C1013,Northgate Retail,2024-03-31,37,Detractor,Healthcare,Project management,False
C1065,Nexus Financial,2024-03-31,87,Promoter,Public Sector,Project management,True
C1048,Walton Retail,2024-03-31,71,Promoter,Financial Services,Turnaround time,True
C1010,Keystone Bank,2024-03-31,77,Promoter,Energy & Utilities,Recommendations actionability,True
C1046,United Financial Services,2024-03-31,43,Detractor,Energy & Utilities,Recommendations actionability,False
C1017,Riverside Manufacturing,2024-03-31,31,Detractor,Public Sector,Recommendations actionability,False
C1023,Xenon Energy,2024-03-31,51,Passive,Public Sector,Expertise depth,False
C1056,Elite Energy,2024-03-31,50,Passive,Manufacturing,Project management,False
C1005,Fortis Insurance,2024-03-31,78,Promoter,Public Sector,Team chemistry,True
C1072,Urbane Capital,2024-03-31,37,Detractor,Financial Services,Team chemistry,False
C1027,Brightwood Healthcare,2024-03-31,70,Promoter,Retail & Consumer,Value for money,True
C1041,Premier Insurance,2024-03-31,47,Detractor,Public Sector,Project management,False
C1028,Coastal Manufacturing,2024-03-31,94,Promoter,Energy & Utilities,Communication,True
C1054,Century Healthcare,2024-03-31,40,Detractor,Financial Services,Turnaround time,False
C1062,Kestrel Energy,2024-03-31,69,Passive,Manufacturing,Project management,True
C1019,Triumph Automotive,2024-03-31,42,Detractor,Healthcare,Team chemistry,False
C1038,Maple Healthcare,2024-03-31,31,Detractor,Manufacturing,Recommendations actionability,False
C1034,Imperial Bank,2024-03-31,79,Promoter,Energy & Utilities,Communication,True
C1001,BlueCrest Capital,2024-03-31,64,Passive,Healthcare,Project management,True
C1047,Vista Healthcare,2024-03-31,31,Detractor,Public Sector,Recommendations actionability,False
C1030,Emerald Retail Group,2024-03-31,68,Passive,Financial Services,Project management,True
C1008,Indus Technologies,2024-03-31,71,Promoter,Manufacturing,Team chemistry,True
C1051,Zenith Healthcare,2024-03-31,58,Passive,Retail & Consumer,Turnaround time,False
C1005,Fortis Insurance,2024-06-30,81,Promoter,Public Sector,Project management,True
C1022,Westfield Consumer Goods,2024-06-30,49,Detractor,Energy & Utilities,Project management,False
C1055,Diamond Manufacturing,2024-06-30,31,Detractor,Healthcare,Project management,False
C1037,Liberty Financial,2024-06-30,43,Detractor,Healthcare,Team chemistry,False
C1028,Coastal Manufacturing,2024-06-30,83,Promoter,Energy & Utilities,Turnaround time,True
C1009,Jefferson Medical Center,2024-06-30,32,Detractor,Retail & Consumer,Communication,False
C1062,Kestrel Energy,2024-06-30,69,Passive,Manufacturing,Delivery quality,True
C1038,Maple Healthcare,2024-06-30,35,Detractor,Manufacturing,Delivery quality,False
C1042,Quest Healthcare,2024-06-30,64,Passive,Financial Services,Expertise depth,True
C1002,Cardinal Health Systems,2024-06-30,26,Detractor,Manufacturing,Expertise depth,False
C1012,Meridian Pharma,2024-06-30,50,Passive,Financial Services,Expertise depth,False
