competitor,size_category,key_practices,known_for,pricing_tier,threat_level_mcg
Deloitte Consulting,"Large (50,000+)",Full-service,Enterprise transformation,Premium,High
McKinsey & Company,"Large (30,000+)","Strategy, Org Design",C-suite strategy,Premium+,High
Boston Consulting Group,"Large (25,000+)","Strategy, Digital",Strategy & innovation,Premium+,High
Accenture,"Very Large (700,000+)","Technology, Operations",Digital transformation,Mid-Premium,High
PwC Advisory,"Large (40,000+)","Finance, Risk, Technology",Risk & compliance,Mid-Premium,Medium
KPMG Advisory,"Large (35,000+)","Finance, Risk, HR",Regulatory compliance,Mid,Medium
Oliver Wyman,"Mid (7,000+)","Strategy, Finance",Financial services focus,Premium,Medium
Huron Consulting,"Mid (5,000+)","Healthcare, Education",Sector specialist,Mid,Low
FTI Consulting,"Mid (7,000+)","Finance, Legal",Disputes & restructuring,Mid,Low
AlixPartners,"Mid (3,000+)","Operations, Finance",Turnaround & restructuring,Premium,Low
West Monroe Partners,"Mid (2,000+)","Technology, Operations",Mid-market technology,Mid,Low
Guidehouse,"Mid (3,500+)","Public sector, Health",Government & defense,Mid,Low
Protiviti,"Mid (9,000+)","Risk, Finance",Internal audit & risk,Mid,Low
L.E.K. Consulting,"Small (1,500+)",Strategy,Strategy for PE/corporate,Premium,Low
Gartner Consulting,"Mid (2,000+)","Technology, Strategy",Technology strategy,Mid,Low
